trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.5, 'e': 0.21438110142697794}",25,0,-38.03720436912859,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.21224797382674304}",25,2,9.407657648104637,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.21013607120076472}",25,12,17.88272290705672,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20804518235702046}",25,7,23.468686982024913,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20597509820488344}",30,13,-13.140779522140448,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20392561173421342}",25,17,13.185240429596359,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.20189651799465538}",20,0,9.193420655555618,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,7,-25.976681321364236,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.19789869908361465}",20,3,2.3017033151029285,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19592957412690934}",30,19,6.641217102950634,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,9,19.73960051266843,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.19204990862075408}",25,6,16.859763072796945,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.1901389801015205}",25,4,24.14797763023166,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.1882470656387468}",30,22,15.00648632609466,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18637397603940997}",30,0,-49.75086362216339,"{0: 26, 1: 0, 2: 1, 3: 2, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.18451952399298926}",30,9,-26.372176688224087,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 1}",1
171,False,"{'a': 0.5, 'e': 0.18268352405273466}",20,11,-21.995598218576053,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.1808657926171221}",25,7,-16.024944820518314,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17906614791149322}",20,11,4.810748357234464,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17728440996987782}",30,18,23.28559359771807,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17552040061699686}",20,4,22.989077320947864,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17377394345044514}",20,7,14.088815097367847,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.17204486382305054}",20,0,-10.926399592517985,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.17033298882540943}",25,4,4.46993589805013,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1686381472685955}",25,0,28.20992581493937,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.1669601696670407}",20,0,-2.7422163989425608,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
